time,open,high,low,close,EMA,Smoothing Line,Volume,Volume MA
2004-01-02T06:00:00-05:00,1473,1483,1473,1478.5,NaN,NaN,74214,NaN
2004-01-02T12:00:00-05:00,1479,1481,1460.5,1466.5,NaN,NaN,87960,NaN
2004-01-04T18:00:00-05:00,1468,1473.5,1467,1471,NaN,NaN,1535,NaN
2004-01-05T00:00:00-05:00,1472,1475,1467.5,1473,NaN,NaN,2057,NaN
2004-01-05T06:00:00-05:00,1472.5,1489,1472.5,1485,NaN,NaN,133981,NaN
2004-01-05T12:00:00-05:00,1485.5,1497.5,1483.5,1495,NaN,NaN,134950,NaN
2004-01-05T18:00:00-05:00,1495.5,1496.5,1494.5,1495,NaN,NaN,738,NaN
2004-01-06T00:00:00-05:00,1494.5,1495.5,1490.5,1493,NaN,NaN,1735,NaN
2004-01-06T06:00:00-05:00,1493,1499.5,1489,1495.5,NaN,NaN,104422,NaN
2004-01-06T12:00:00-05:00,1495.5,1508,1494,1504.5,NaN,NaN,133415,NaN
2004-01-06T18:00:00-05:00,1503.5,1504,1502.5,1503,NaN,NaN,413,NaN
2004-01-07T00:00:00-05:00,1503,1504.5,1498.5,1498.5,NaN,NaN,2057,NaN
2004-01-07T06:00:00-05:00,1498,1507.5,1493,1506.5,NaN,NaN,116807,NaN
2004-01-07T12:00:00-05:00,1506.5,1517.5,1506,1517,NaN,NaN,141259,NaN
2004-01-07T18:00:00-05:00,1518,1518,1516.5,1516.5,NaN,NaN,405,NaN
2004-01-08T00:00:00-05:00,1516.5,1519.5,1515,1518,NaN,NaN,1752,NaN
2004-01-08T06:00:00-05:00,1517.5,1529.5,1515.5,1523,NaN,NaN,137681,NaN
2004-01-08T12:00:00-05:00,1523,1531.5,1521,1530,1498.3055555555557,NaN,140663,NaN
2004-01-08T18:00:00-05:00,1531,1532,1530,1532,1501.8523391812867,NaN,819,NaN
2004-01-09T00:00:00-05:00,1532.5,1533,1526,1528.5,1504.6573561095722,NaN,1967,60941.5
2004-01-09T06:00:00-05:00,1528.5,1539,1514.5,1538,1508.1671080980384,NaN,161412,65301.4
2004-01-09T12:00:00-05:00,1538.5,1545,1519.5,1521.5,1509.570570403508,1504.5105858695922,198641,70835.45
2004-01-11T18:00:00-05:00,1521,1522,1519,1521,1510.7736682557704,1507.0042084096353,586,70788
2004-01-12T00:00:00-05:00,1521.5,1526.5,1521,1526,1512.3764400183209,1509.109028577042,1654,70767.85
2004-01-12T06:00:00-05:00,1526,1532.5,1518.5,1531,1514.3368147532344,1511.0449203057747,129802,70558.9
2004-01-12T12:00:00-05:00,1531.5,1548,1526,1547,1517.7750447792098,1512.9665076420088,134122,70517.5
2004-01-12T18:00:00-05:00,1547.5,1547.5,1545,1545,1520.640829539293,1515.1805594691657,431,70502.15
2004-01-13T00:00:00-05:00,1545,1546,1542,1545,1523.2049527456832,1517.6668163671484,1736,70502.2
2004-01-13T06:00:00-05:00,1545.5,1545.5,1518,1518.5,1522.709694561927,1519.7334672758698,151515,72856.85
2004-01-13T12:00:00-05:00,1518.5,1531.5,1515,1528.5,1523.3192003975137,1521.5299444047255,211203,76746.25
2004-01-13T18:00:00-05:00,1530,1533,1528,1532.5,1524.28560035567,1522.8320555200175,908,76771
2004-01-14T00:00:00-05:00,1532.5,1535.5,1527.5,1535,1525.4134318971785,1523.7865759915946,2514,76793.85
2004-01-14T06:00:00-05:00,1535,1537,1527.5,1531.5,1526.0541232764228,1524.3564100977426,115758,76741.4
2004-01-14T12:00:00-05:00,1531.5,1539.5,1518,1520,1525.4168471420626,1524.8978406137699,143610,76858.95
2004-01-14T18:00:00-05:00,1523,1523.5,1519,1522,1525.0571790218455,1525.2454363386362,1867,76932.05
2004-01-15T00:00:00-05:00,1522,1526.5,1519.5,1525,1525.0511601774408,1525.3985483029903,2831,76986
2004-01-15T06:00:00-05:00,1525,1535,1516,1531.5,1525.7299854219207,1525.4618590079385,183746,79289.25
2004-01-15T12:00:00-05:00,1531.5,1548.5,1527,1537.5,1526.9689343248765,1525.6448212176294,288665,86689.35
2004-01-15T18:00:00-05:00,1538.5,1545,1538.5,1543.5,1528.7090465012052,1526.303261089458,1365,86716.65
2004-01-16T00:00:00-05:00,1543.5,1545,1541.5,1544,1530.31862055371,1527.3555493958308,1420,86689.3
2004-01-16T06:00:00-05:00,1544,1549.5,1538,1545,1531.8640289164773,1528.7181231436382,127325,84984.95
2004-01-16T12:00:00-05:00,1545,1556,1543,1553,1534.0888679779007,1530.3898996548342,103741,80239.95
2004-01-18T18:00:00-05:00,1552.5,1556.5,1552.5,1555,1536.2900397697006,1532.254120743799,245,80222.9
2004-01-19T00:00:00-05:00,1555.5,1558.5,1554,1555,1538.2595092676268,1534.1642132970833,890,80184.7
2004-01-19T06:00:00-05:00,1555,1557.5,1551.5,1553,1539.8111398710344,1536.0627171605481,1241,73756.65
2004-01-19T18:00:00-05:00,1554,1557.5,1553,1556,1541.5152304109254,1537.9929574594378,379,67069.5
2004-01-20T00:00:00-05:00,1555.5,1559.5,1554.5,1559.5,1543.4083640518807,1539.8568566742338,1153,67105.6
2004-01-20T06:00:00-05:00,1559.5,1563,1542.5,1548,1543.8916941516827,1541.3771875506302,143791,74208.35
2004-01-20T12:00:00-05:00,1548,1559,1547.5,1550,1544.5346737146635,1542.6322204400376,133651,73315.15
2004-01-20T18:00:00-05:00,1548,1552,1547,1549.5,1545.057339639436,1543.6814603937178,1184,62814.2
2004-01-21T00:00:00-05:00,1549.5,1551.5,1545,1549.5,1545.5249880984427,1544.4834119312213,1668,62852.2
2004-01-21T06:00:00-05:00,1549.5,1549.5,1530.5,1536,1544.522357772291,1544.7062106753033,156456,70549.3
2004-01-21T12:00:00-05:00,1536,1557.5,1534.5,1552.5,1545.362109585734,1545.0002937621134,223400,75931.4
2004-01-21T18:00:00-05:00,1553,1554,1551.5,1552.5,1546.1134664714464,1545.31605231347,575,68779.65
2004-01-22T00:00:00-05:00,1552.5,1553.5,1547,1549,1546.417312106031,1545.5880468067892,1760,68774.3
